,Адрес,Вид ДТП,Время,Дата,Долгота,Число погибших,Число раненых,Широта
75,Пролетарский район,Наезд на пешехода,18:40,13.09.2016,54.2139,,,37.6767
76,Пролетарский район,Наезд на пешехода,18:40,13.09.2016,54.2139,,,37.6767
77,Пролетарский район,Наезд на пешехода,18:40,13.09.2016,54.2139,,,37.6767
78,Пролетарский район,Наезд на пешехода,18:40,13.09.2016,54.2139,,,37.6767
79,Пролетарский район,Наезд на пешехода,18:40,13.09.2016,54.2139,,,37.6767
80,Советский район,Наезд на пешехода,08:45,09.09.2016,54.1908,,,37.6078
81,Зареченский район,Наезд на пешехода,17:05,07.09.2016,54.215,,,37.6025
82,Привокзальный район,Наезд на пешехода,08:10,07.09.2016,54.185,,,37.5661
83,Центральный район,Наезд на пешехода,15:10,06.09.2016,54.1711,,,37.6006
84,Советский район,Наезд на пешехода,17:10,06.09.2016,54.1992,,,37.5942
85,Пролетарский район,Наезд на пешехода,22:00,03.09.2016,54.2039,,,37.6764
86,Пролетарский район,Наезд на пешехода,13:45,03.09.2016,54.1019,,,37.5653
87,Центральный район,Наезд на пешехода,19:00,30.09.2016,54.1164,,,37.6147
88,Пролетарский район,Наезд на пешехода,14:15,30.09.2016,54.1853,,,37.6681
89,Центральный район,Наезд на пешехода,17:30,27.09.2016,54.1522,,,37.585
90,Пролетарский район,Наезд на пешехода,12:55,21.09.2016,54.2094,,,37.6831
91,Центральный район,Наезд на пешехода,15:20,19.09.2016,54.1842,,,37.6178
92,Привокзальный район,Наезд на пешехода,21:20,17.09.2016,54.1625,,,37.5669
93,Зареченский район,Наезд на пешехода,02:00,16.09.2016,54.2008,,,37.6169
94,Зареченский район,Наезд на пешехода,15:50,16.09.2016,54.2208,,,37.6022
95,Пролетарский район,Наезд на пешехода,15:30,16.09.2016,54.1278,,,37.5347
96,Привокзальный район,Наезд на пешехода,20:10,15.10.2016,54.1839,,,37.5289
97,Центральный район,Наезд на пешехода,19:30,11.10.2016,54.1519,,,37.5956
98,Зареченский район,Наезд на пешехода,13:40,08.10.2016,54.2353,,,37.6189
99,Центральный район,Наезд на пешехода,16:05,08.10.2016,54.1692,,,37.6189
100,Зареченский район,Наезд на пешехода,07:45,07.10.2016,54.2006,,,37.6169
101,Советский район,Наезд на пешехода,12:15,07.10.2016,54.1853,,,37.6072
102,Привокзальный район,Наезд на пешехода,08:45,05.10.2016,55.1611,,,37.5692
103,Пролетарский район,Наезд на пешехода,12:40,05.10.2016,54.2,,,37.635
104,Центральный район,Наезд на пешехода,21:50,04.10.2016,54.1692,,,37.6133
105,Привокзальный район,Наезд на пешехода,19:55,03.10.2016,54.1997,,,37.5839
106,Советский район,Наезд на пешехода,16:10,03.10.2016,54.21,,,37.1458
107,Пролетарский район,Наезд на пешехода,00:20,03.10.2016,54.1967,,,37.6911
108,Пролетарский район,Наезд на пешехода,11:30,02.10.2016,54.4028,,,37.6783
109,Центральный район,Наезд на пешехода,03:59,01.10.2016,54.1683,,,37.6022
110,Советский район,Наезд на пешехода,11:45,01.10.2016,54.1842,,,37.5858
111,Привокзальный район,Наезд на пешехода,20:30,31.10.2016,54.1853,,,37.5589
112,Советский район,Наезд на пешехода,18:55,30.10.2016,54.1842,,,37.5692
